Date,SWE_in ,PREC_Accum_in,T_degC ,TMAX_degC) ,TMIN_degC ,TAVG_degC ,SNWDepth_in 
10/1/2022,0,0,7,12.2,3.8,7.3,0
10/2/2022,0,0,5.9,14.5,3.4,9.2,0
10/3/2022,0,0,7.8,15.3,4.2,8.9,0
10/4/2022,0,0,7.5,18.3,5.1,10.8,0
10/5/2022,0,0,8.3,19.4,6.2,11.8,0
10/6/2022,0,0,8.8,20.8,7.2,12.6,0
10/7/2022,0,0,10.1,21.2,8.4,13.3,0
10/8/2022,0,0,8.9,21,8.1,13.3,0
10/9/2022,0,0,8.5,20.1,7.1,12.3,0
10/10/2022,0,0,7.2,19.7,6.3,11.3,0
10/11/2022,0,0,8,18.5,5.4,10.6,0
10/12/2022,0,0,7.5,15.9,5.9,10.7,0
10/13/2022,0,0,9.7,18.4,5.1,11.3,0
10/14/2022,0,0,8,20.3,6.1,12,0
10/15/2022,0,0,9.2,20.7,6.2,12.1,0
10/16/2022,0,0,7.9,18.9,6.4,11.5,0
10/17/2022,0,0,7.8,19.6,5,10.6,0
10/18/2022,0,0,9,20.9,6.2,11.7,0
10/19/2022,0,0,9.6,21,7.1,12.2,0
10/20/2022,0,0,7.5,20.6,7.5,12,0
10/21/2022,0,0,6.7,18.7,5.5,10.9,0
10/22/2022,0,0.5,4.9,13.9,4.9,8.6,0
10/23/2022,0,1.8,-2,5.1,-3.2,0.9,0
10/24/2022,0,1.8,-3.6,2.4,-5.4,-1.8,0
10/25/2022,0.5,2.4,-1.1,2.5,-5.9,-1.6,2
10/26/2022,0.5,2.4,-1,3.9,-2.8,-0.1,2
10/27/2022,0.8,2.7,-5.7,0.4,-5.8,-1.7,4
10/28/2022,0.8,2.7,-3.1,3.8,-7.2,-2.9,4
10/29/2022,0.8,2.9,-0.3,7.7,-4.4,1,3
10/30/2022,0.9,2.9,0.4,9.9,-0.7,2.9,4
10/31/2022,0.9,2.9,3.9,9.9,-0.8,3.5,3
11/1/2022,0.9,2.9,5.4,12.2,2.2,6.1,3
11/2/2022,1.1,3.1,-0.3,10.1,-0.4,5.6,7
11/3/2022,1.1,3.2,-7.1,-0.3,-7.6,-3.7,6
11/4/2022,1.1,3.4,-5.3,0.2,-9.2,-5.3,5
11/5/2022,3.1,5,1,1,-5.4,-1.7,16
11/6/2022,4.3,6.5,-3.6,2.4,-3.8,-0.4,18
11/7/2022,4.5,6.7,0.5,2.4,-7.3,-2.2,16
11/8/2022,4.9,6.9,-5.7,2,-5.7,-2,20
11/9/2022,5,7.2,-0.9,0.5,-6.5,-2.7,21
11/10/2022,5.8,7.7,-8.8,-0.9,-8.8,-3.6,27
11/11/2022,5.7,7.7,-10.7,-3.7,-12.5,-8.8,25
11/12/2022,5.7,7.7,-7.7,-2.2,-13.4,-8.4,24
11/13/2022,5.7,7.7,-5.3,1,-7.7,-4.4,23
11/14/2022,5.6,7.7,-7.4,1.7,-7.9,-4.3,22
11/15/2022,5.6,7.7,-7.6,1.3,-9.5,-5.8,22
11/16/2022,5.6,7.7,-5.6,3.6,-8.9,-4.9,22
11/17/2022,5.6,7.7,-6.2,2.6,-6.9,-3.9,22
11/18/2022,5.6,7.7,-5.7,0.8,-7,-4.5,22
11/19/2022,5.6,7.7,-9.4,-1.4,-10.9,-7.1,22
11/20/2022,5.6,7.7,-5.9,0,-10.3,-6.2,22
11/21/2022,5.6,7.7,-5.6,2.2,-6.9,-3.7,22
11/22/2022,5.6,7.7,-5.1,2.6,-5.6,-3,22
11/23/2022,5.6,7.9,-1.4,3.3,-5.3,-1.3,21
11/24/2022,5.7,7.9,-4.5,2.1,-4.8,-1.7,22
11/25/2022,5.7,7.9,-0.1,5.2,-6.1,-1.2,22
11/26/2022,5.7,7.9,0.5,7.9,-0.6,2.6,22
11/27/2022,5.9,7.9,-6.1,2.7,-6.1,-1.1,23
11/28/2022,6.3,8.4,-4.6,-0.4,-6.1,-3,27
11/29/2022,6.6,8.5,-9.3,-3,-11.1,-6.1,26
11/30/2022,6.6,8.5,-9.2,-5.5,-12.7,-9.3,27
12/1/2022,7.4,9.3,-1.8,-0.9,-9.2,-3.9,35
12/2/2022,8.6,10.1,-9.2,-0.4,-10.5,-3.6,44
12/3/2022,8.6,10.2,-11.9,-5.2,-12.8,-9,40
12/4/2022,8.7,10.4,-6.7,-0.6,-13.3,-8,39
12/5/2022,9.3,11.2,-2.1,1.3,-6.9,-1.6,42
12/6/2022,9.3,11.2,-3.2,0.3,-3.9,-2.3,41
12/7/2022,9.3,11.2,-4.6,-0.4,-4.6,-3,40
12/8/2022,9.3,11.2,-8.3,-3.4,-9.8,-6.5,38
12/9/2022,9.3,11.2,-4.2,-1.7,-8.6,-5.2,36
12/10/2022,9.7,11.6,-4.5,-3.9,-9.4,-5.6,43
12/11/2022,10.5,12.4,-0.5,-0.1,-4.5,-1.7,53
12/12/2022,11.1,12.9,-1.3,0.7,-1.3,-0.5,53
12/13/2022,11.3,13,-2.4,0,-5.4,-2.5,50
12/14/2022,11.3,13,-5.9,-0.8,-6.1,-3.5,50
12/15/2022,11.3,13,-6.6,-2.5,-7.5,-5.3,49
12/16/2022,11.3,13,-11.4,-5.1,-11.6,-9,47
12/17/2022,11.3,13,-12.9,-7,-14.1,-11.5,46
12/18/2022,11.3,13,-13,-7.2,-17,-12.2,44
12/19/2022,11.3,13,-8.7,-4.5,-14.3,-8.8,46
12/20/2022,11.5,13.2,-5.7,-2.7,-12.1,-7.2,44
12/21/2022,12.1,13.8,-2.8,-1.1,-5.7,-3.6,48
12/22/2022,12.3,13.9,-17.4,-0.8,-17.4,-6.7,49
12/23/2022,12.3,14,-12,-10.3,-19.8,-14.8,48
12/24/2022,13,14.7,-1.6,-1.3,-12.2,-5.4,51
12/25/2022,13.2,14.9,0.8,3.8,-2.2,0.5,50
12/26/2022,13.4,15,2,4.2,0.7,2.1,48
12/27/2022,13.4,15,6.1,7.2,1,4.5,47
12/28/2022,14.3,16.2,-2.1,7.3,-2.1,1.7,48
12/29/2022,14.5,16.5,-6,-2.1,-6.7,-3.7,51
12/30/2022,14.5,16.6,-3.8,-1.1,-9.1,-5.5,50
12/31/2022,15.4,17.4,-0.6,0.8,-3.8,-1.4,57
1/1/2023,15.6,17.7,-6.9,0.9,-7.2,-2.4,55
1/2/2023,15.6,17.7,-6.9,-2.7,-7.7,-5.4,55
1/3/2023,15.6,17.7,-9.8,-3.9,-11.2,-8,53
1/4/2023,15.6,17.7,-5.7,-4.6,-10.7,-7,52
1/5/2023,15.6,17.8,0.5,0.5,-6.5,-2.8,51
1/6/2023,15.6,18.1,-0.2,1.4,-0.9,0.5,53
1/7/2023,15.7,18.1,-4.7,2.4,-4.9,-0.9,54
1/8/2023,15.7,18.2,-3,1.6,-7.4,-3.4,52
1/9/2023,16,18.4,-4.1,0.1,-4.1,-1.3,57
1/10/2023,16.7,19,-2.5,0.5,-5.3,-1.6,63
1/11/2023,16.9,19.2,-0.8,0.4,-5.3,-1.8,61
1/12/2023,17.1,19.5,-2.3,1,-3.6,-1.3,62
1/13/2023,17.1,19.5,1.6,2.8,-2.3,0.5,61
1/14/2023,17.7,19.9,0.6,6.4,0.6,3.3,63
1/15/2023,18.3,20.5,-0.1,3.6,-0.1,1.1,65
1/16/2023,18.4,20.6,-3,1.4,-3.7,-0.9,65
1/17/2023,18.4,20.6,-7,-0.5,-7.5,-4.3,64
1/18/2023,18.4,20.6,-7.6,-0.8,-9.3,-5.3,61
1/19/2023,18.4,20.7,-4.2,-1.7,-10,-5.6,61
1/20/2023,18.4,20.7,-6,-0.2,-6.2,-3.9,63
1/21/2023,18.4,20.7,-8.1,-2,-10.1,-6.7,61
1/22/2023,18.5,20.8,-7.9,-0.5,-9.9,-6.7,60
1/23/2023,18.5,20.8,-7.4,-2.4,-10.9,-6.1,62
1/24/2023,18.5,20.8,-7.7,-2.7,-11.7,-7.4,60
1/25/2023,18.5,20.8,-4.5,1.6,-9.8,-4.8,60
1/26/2023,18.5,20.8,-2.7,1.7,-4.8,-2.1,60
1/27/2023,18.5,20.8,-1.6,3.6,-3.9,-1,59
1/28/2023,18.6,20.9,-3.9,0,-5.3,-1.6,60
1/29/2023,18.7,21.1,-10.9,-2.6,-10.9,-5.1,63
1/30/2023,18.7,21.1,-19.3,-8.1,-19.5,-13.4,62
1/31/2023,18.7,21.1,-17,-7.9,-22.2,-16.6,62
2/1/2023,18.7,21.1,-9.9,-5.8,-17,-10.5,61
2/2/2023,18.7,21.2,-6.5,1.1,-10.1,-5.4,61
2/3/2023,18.7,21.2,-0.6,5.6,-7.3,-1.7,60
2/4/2023,18.7,21.2,-0.9,5.4,-1.1,1.2,60
2/5/2023,18.7,21.2,1,4.9,-4,-0.2,59
2/6/2023,19.6,22.1,-2.2,2.2,-2.3,-0.8,66
2/7/2023,19.6,22.1,-4.5,1.2,-5.2,-1.9,66
2/8/2023,19.7,22.3,-1.4,3.6,-6.5,-2.4,67
2/9/2023,19.8,22.3,-10.5,-0.9,-10.5,-4.3,65
2/10/2023,19.9,22.3,-5.3,2.4,-11.9,-6.2,65
2/11/2023,19.9,22.3,-1.8,6.2,-5.9,-0.7,65
2/12/2023,20,22.3,-4.3,6.3,-5.1,-1,64
2/13/2023,20,22.3,-3.6,5.7,-6.3,-1.4,63
2/14/2023,20.3,22.6,-6.4,2.7,-6.4,-2.8,69
2/15/2023,20.3,22.6,-6.9,-4.3,-9.1,-6.2,66
2/16/2023,20.3,22.6,-9.2,-0.9,-9.6,-6,66
2/17/2023,20.3,22.6,-8.3,1.9,-11.4,-6.1,65
2/18/2023,20.3,22.6,-7.9,2.6,-9.9,-5.4,64
2/19/2023,20.4,22.7,-8.5,-0.1,-9.1,-5.4,62
2/20/2023,20.5,22.8,-1.5,0.7,-9,-3.6,64
2/21/2023,20.6,22.9,0.9,4.3,-2.5,0.5,64
2/22/2023,21,23.2,-8.6,0.9,-9.3,-3,66
2/23/2023,21.5,23.5,-8.2,-3.4,-12.6,-8,68
2/24/2023,21.6,23.7,-11.7,-5.8,-12.1,-9.1,69
2/25/2023,21.7,23.7,-8.6,-0.2,-13.2,-7.7,69
2/26/2023,21.8,23.8,-2.3,5.2,-9.3,-2.8,68
2/27/2023,22.6,24.5,-7.5,1,-7.5,-2.1,73
2/28/2023,22.9,24.7,-4.9,0.1,-9.4,-5.3,75
3/1/2023,23.3,25,-8,-2.3,-8.1,-5.8,79
3/2/2023,23.6,25.2,-7.9,-1.9,-8.3,-6,78
3/3/2023,24,25.6,-4.6,-3,-10.9,-6.3,82
3/4/2023,24,25.6,-8.7,-3.7,-10.9,-6.6,80
3/5/2023,24.4,25.8,-4.1,-1,-11.1,-6.1,84
3/6/2023,25.1,26.4,-6.4,-1.5,-7.4,-5.2,85
3/7/2023,25.2,26.4,-11.4,-1.1,-11.5,-6.2,83
3/8/2023,25.3,26.4,-7.8,-2.8,-13,-7.7,82
3/9/2023,25.6,26.6,-5.9,-0.3,-10.2,-5.5,83
3/10/2023,26,26.9,-3.6,-1.5,-11.5,-5.2,86
3/11/2023,27.3,27.8,-6.4,0.9,-6.4,-2.4,91
3/12/2023,27.3,27.9,-4.9,0.9,-9.3,-4.4,88
3/13/2023,27.7,28.1,-0.3,3.8,-6.3,-1,88
3/14/2023,29,29.6,0.7,2.9,-0.3,1.4,93
3/15/2023,30.3,30.8,1.2,4,0.3,1.5,94
3/16/2023,30.5,31,-8.5,1.2,-8.5,-2.5,92
3/17/2023,30.5,31,-6.8,4.3,-9.8,-4,91
3/18/2023,30.7,31,-5.7,5.2,-8.6,-3,89
3/19/2023,30.7,31,-4.3,6.5,-7.8,-1.9,88
3/20/2023,30.8,31,-1.1,8,-5.3,0.4,87
3/21/2023,31.6,31.9,-2.7,1.5,-2.7,-1.1,92
3/22/2023,31.7,32,-3,5.8,-4.9,-0.6,90
3/23/2023,31.7,32,-0.7,4.5,-4.9,-0.4,89
3/24/2023,32,32.2,-3.1,1.8,-3.9,-0.8,90
3/25/2023,32.5,32.7,-8.6,-2.7,-8.8,-5.5,92
3/26/2023,32.7,32.9,-11.1,-1.7,-11.2,-7,92
3/27/2023,32.7,32.9,-7.4,-2.6,-11.4,-6.7,90
3/28/2023,32.8,33,-2.9,0.9,-11.2,-5,91
3/29/2023,33,33.2,-0.3,0.6,-4.6,-2,93
3/30/2023,33.6,33.8,-2.1,2.6,-2.2,-0.5,94
3/31/2023,34.5,34.7,-1.6,1.7,-2.9,-1,102
4/1/2023,34.8,35,-0.9,1.1,-2.3,-1.1,100
4/2/2023,36.4,36,-3.7,0,-5.2,-1.9,110
4/3/2023,36.8,36.4,-4.2,2.1,-6.5,-3,110
4/4/2023,36.9,36.4,-5,-0.2,-7,-4.2,109
4/5/2023,37,36.4,-6.9,0.2,-7.8,-4.1,107
4/6/2023,37.1,36.4,-7.9,2.8,-10.6,-4.2,105
4/7/2023,37.1,36.4,-1.1,6.5,-9.1,-1.1,103
4/8/2023,37.3,36.5,-0.4,7.1,-1.8,1.1,101
4/9/2023,37.4,36.6,2.1,7.3,-1.5,3.4,100
4/10/2023,37.2,36.6,6,13.2,0.3,6.3,96
4/11/2023,36.6,36.6,8.5,16.7,5.3,10.5,91
4/12/2023,36.2,36.6,1.9,9.7,1.5,6.5,89
4/13/2023,36,36.6,-4.4,3.7,-4.4,0.6,89
4/14/2023,36,36.6,-3.9,4.1,-4.9,-2.1,89
4/15/2023,36,36.6,-4.4,3.9,-6.3,-1.6,88
4/16/2023,36,36.6,3.2,9,-5.7,1.9,86
4/17/2023,36,36.6,3.6,12.4,2.1,7,84
4/18/2023,35.9,36.9,-0.6,7.4,-1.8,2.6,83
4/19/2023,36.4,37.3,-10.4,0.3,-10.5,-3.4,89
4/20/2023,36.5,37.3,-4.6,3.6,-12.3,-4.7,87
4/21/2023,36.6,37.3,-2.2,4.8,-7.2,-1,85
4/22/2023,37.1,37.8,-1.1,3.3,-2.2,0.1,87
4/23/2023,37.2,37.8,0,7.7,-2.1,2.1,84
4/24/2023,37.1,37.9,3.2,10.5,-2.2,3.1,83
4/25/2023,36.7,38,1.1,6.3,0.6,3,82
4/26/2023,36.3,38,2.7,11,0.3,5.1,80
4/27/2023,35.5,38,5.4,14,0.8,7.1,77
4/28/2023,34.6,38,5.4,14.1,3.1,8.4,75
4/29/2023,33.5,38,7.2,15.1,2,8.4,72
4/30/2023,32.2,38,8.1,15.4,5.6,10.3,69
5/1/2023,30.8,38,10,19.4,7.1,11.8,65
5/2/2023,29.2,38,11.9,19.6,7.5,12.7,61
5/3/2023,27.7,38,7.7,16.8,7.6,11.7,59
5/4/2023,26.4,38,8.5,17.5,6.3,11,56
5/5/2023,25.5,38,4.1,12.5,4.1,7.2,54
5/6/2023,25,38.3,2.1,6.7,2,4.3,53
5/7/2023,24.2,38.4,1.2,8.8,1.2,4.1,50
5/8/2023,24.3,38.9,0,7.7,0,2.2,52
5/9/2023,24.3,39.1,1,11,-1,3.8,52
5/10/2023,24.7,39.9,0.6,10,-0.1,3.3,52
5/11/2023,24.2,40,4.6,14.2,-0.9,6.1,50
5/12/2023,23,40,4.5,14.7,2.2,8,47
5/13/2023,21.3,40,8.5,16.2,4.4,10.2,44
5/14/2023,19.5,40,8.3,16.2,6.6,11.1,42
5/15/2023,18.1,40.1,7.3,14.6,6.8,9.5,39
5/16/2023,16.6,40.1,6.3,16.3,5.3,10,34
5/17/2023,14.9,40.3,7,17.5,5.7,10.4,32
5/18/2023,13.4,40.3,6.9,15.9,6.6,9.6,30
5/19/2023,11.8,40.3,8.4,19,5.7,11.3,26
5/20/2023,10,40.3,9.5,19.7,7.5,12.4,20
5/21/2023,8,40.3,11,22,8.8,13.8,15
5/22/2023,5.5,40.3,8.7,23.1,8.5,14.4,11
5/23/2023,3.7,40.3,6.6,16.2,6.6,10.6,8
5/24/2023,2.5,40.3,7.7,14.5,5.4,10,4
5/25/2023,1,40.3,8,15.7,6.1,10,2
5/26/2023,0,40.3,7.2,14.7,5.4,10.4,0
5/27/2023,0,40.5,7.6,14.5,6.2,9.2,0
5/28/2023,0,40.5,5.4,13.8,5.4,8.9,0
5/29/2023,0,40.5,7.6,15.1,4.3,9.8,0
5/30/2023,0,40.5,9.5,18.6,6.6,12.5,0
5/31/2023,0,40.8,8.1,18.2,7.7,10.8,0
6/1/2023,0,41,8,17.7,7.1,11.1,0
6/2/2023,0,41,8.3,17.3,6.7,11.6,0
6/3/2023,0,41,9.2,16.6,7.1,10.9,0
6/4/2023,0,41.4,9.2,17.8,7.1,11.5,0
6/5/2023,0,41.7,11.1,17.1,8.4,12,0
6/6/2023,0,41.7,11,17.2,9.9,12.5,0
6/7/2023,0,41.7,10.9,21.1,8.3,14.8,0
6/8/2023,0,41.8,12.1,21.5,9.8,13.9,0
6/9/2023,0,41.8,7.3,18,7.3,12.5,0
6/10/2023,0,42.5,8.9,14.7,6.8,9.9,0
6/11/2023,0,42.5,9.7,16.8,8.2,11.8,0
6/12/2023,0,42.5,9.6,19.4,8.1,12.8,0
6/13/2023,0,42.6,9.2,17.3,8.3,11.7,0
6/14/2023,0,43,10.4,19.2,8.2,12.7,0
6/15/2023,0,43,4.9,14.6,4.9,10.5,0
6/16/2023,0,43.1,7.4,15.2,4.5,10.4,0
6/17/2023,0,43.1,8.3,17.8,5.3,11.6,0
6/18/2023,0,43.2,9.4,15.6,8.3,11.7,0
6/19/2023,0,43.9,4.2,12.4,4.2,8.2,0
6/20/2023,0,43.9,0.1,9.4,0.1,5.2,0
6/21/2023,0,43.9,1.1,10.6,-1,4.5,0
6/22/2023,0,43.9,4.3,12.1,0.4,6.4,0
6/23/2023,0,43.9,9.8,18.6,2.4,11,0
6/24/2023,0,43.9,8.2,17.4,8.2,12.1,0
6/25/2023,0,43.9,11.2,18,6.8,12.8,0
6/26/2023,0,44.2,8.4,21.5,8.2,13.5,0
6/27/2023,0,44.2,9.1,18.6,7.3,12.6,0
6/28/2023,0,44.3,7.2,15.9,6.8,10.8,0
6/29/2023,0,44.3,9.1,16.7,6.3,11.6,0
6/30/2023,0,44.3,11.8,22.1,8,14.9,0
7/1/2023,0,44.3,13.4,24.1,10.9,17.3,0
7/2/2023,0,44.3,12.8,25.3,11.7,18.3,0
7/3/2023,0,44.3,12.7,25.3,10.6,17.6,0
7/4/2023,0,44.3,14.3,23.6,10.9,17.1,0
7/5/2023,0,44.3,10.3,21.6,9.4,15.3,0
7/6/2023,0,44.3,10.3,22.2,8,14.9,0
7/7/2023,0,44.3,12.7,24.8,9.3,16.6,0
7/8/2023,0,44.3,12.9,24.3,10.8,17.3,0
7/9/2023,0,44.3,13.8,25.1,11,17.9,0
7/10/2023,0,44.3,17.3,28,12,19.5,0
7/11/2023,0,44.3,13.2,25.1,13,18.8,0
7/12/2023,0,44.3,11.4,22.8,10.7,16.4,0
7/13/2023,0,44.3,13,26,9.6,17.5,0
7/14/2023,0,44.3,13.5,23.6,11.4,17.1,0
7/15/2023,0,44.3,13,24.2,10.1,16.9,0
7/16/2023,0,44.3,17.1,26.7,11.3,18.6,0
7/17/2023,0,44.3,17.3,29.2,13.4,21.1,0
7/18/2023,0,44.3,12.8,25.2,12.8,18.8,0
7/19/2023,0,44.4,13.1,26.3,10.5,17.7,0
7/20/2023,0,44.4,17.7,26.3,10.5,18.7,0
7/21/2023,0,44.4,15,28,13.4,20.1,0
7/22/2023,0,44.4,15.9,28.7,13.1,20.4,0
7/23/2023,0,44.4,17.9,30.1,14.3,21.7,0
7/24/2023,0,44.4,18.2,28.8,15.5,21.7,0
7/25/2023,0,44.4,14.2,22.7,14,18.7,0
7/26/2023,0,44.4,12.8,24.3,12.8,18,0
7/27/2023,0,44.4,13.6,25.6,11,17.9,0
7/28/2023,0,44.4,13.3,25.1,12,18.1,0
7/29/2023,0,44.4,14.3,25.7,12,18.4,0
7/30/2023,0,44.4,14.5,25.7,12.9,18.7,0
7/31/2023,0,44.4,14.3,26.4,13.5,19,0
