Site_ID,Collection_Date,D_2H_Precip,D_18O_Precip
Lower Deer Point,11/13/2009,-150.39,-19.06
Lower Deer Point,1/13/2010,-84.22,-11.37
Lower Deer Point,1/20/2010,-131.73,-15.63
Lower Deer Point,1/20/2010,-136.24,-17.27
Lower Deer Point,3/29/2010,-118.34,-15.84
Lower Deer Point,4/2/2010,-108.7,-14.57
Lower Deer Point,4/15/2010,-125.44,-16.64
Lower Deer Point,4/20/2010,-114.25,-15.17
Lower Deer Point,4/21/2010,-110.42,-15.23
Lower Deer Point,4/24/2010,-99.68,-12.43
Lower Deer Point,5/7/2010,-101.36,-13.34
Lower Deer Point,5/12/2010,-106.79,-14.07
Lower Deer Point,5/19/2010,-103.61,-14.79
Lower Deer Point,5/25/2010,-104.54,-14.23
Lower Deer Point,5/28/2010,-100.8,-14.14
Lower Deer Point,6/5/2010,-113.98,-15.2
Lower Deer Point,6/7/2010,-110.87,-14.41
Lower Deer Point,6/11/2010,-61.63,-8.36
Lower Deer Point,6/21/2010,-71.25,-9.8
Lower Deer Point,10/25/2010,-134.04,-18.47
Lower Deer Point,10/27/2010,-79.52,-12.34
Lower Deer Point,11/1/2010,-94.02,-13.84
Lower Deer Point,11/8/2010,-126.88,-18.55
Lower Deer Point,11/11/2010,-104.91,-15.2
Lower Deer Point,11/15/2010,-98.53,-13.64
Lower Deer Point,12/7/2010,-130.12,-16.84
Lower Deer Point,1/17/2011,-148.73,-19.91
Lower Deer Point,5/7/2011,-130.28,-17.78
Lower Deer Point,5/16/2011,-129.08,-17.58
Lower Deer Point,5/19/2011,-112.96,-15.15
Lower Deer Point,5/26/2011,-83.75,-12.47
Lower Deer Point,5/27/2011,-115.98,-16.06
Lower Deer Point,6/7/2011,-100.52,-13.74
Lower Deer Point,6/9/2011,-103.45,-14.71
Lower Deer Point,6/29/2011,-84,-9.91
Lower Deer Point,6/30/2011,-99.43,-12.31
Lower Deer Point,9/11/2011,-70.64,-10.18
Lower Deer Point,9/15/2011,-39.23,-3.19
Lower Deer Point,9/16/2011,-52.59,-7.71
Lower Deer Point,10/5/2011,-93.89,-13.54
Lower Deer Point,10/7/2011,-167.9,-22.76
Lower Deer Point,10/17/2011,-119.8,-16.48
Lower Deer Point,11/5/2011,-112.21,-16.53
Lower Deer Point,11/13/2011,-85.62,-13.04
Lower Deer Point,11/22/2011,-167.41,-23.48
Lower Deer Point,12/27/2011,-101.51,-13.63
Lower Deer Point,12/31/2011,-100.36,-13.87
Lower Deer Point,1/20/2012,-157.65,-21.76
Lower Deer Point,1/22/2012,-100.55,-14.33
Lower Deer Point,1/24/2012,-158.73,-21.37
Lower Deer Point,1/27/2012,-104.95,-12.95
Lower Deer Point,2/3/2012,-135.99,-18.44
Lower Deer Point,2/15/2012,-133.19,-18.27
Lower Deer Point,3/18/2012,-130.16,-17.56
Lower Deer Point,3/19/2012,-124.73,-16.08
Lower Deer Point,3/21/2012,-122.04,-15.74
Lower Deer Point,3/27/2012,-96.29,-13.33
Lower Deer Point,3/28/2012,-113.09,-15.05
Lower Deer Point,4/19/2012,-105.75,-14.54
Lower Deer Point,4/26/2012,-121.82,-16.58
Lower Deer Point,4/27/2012,-110.39,-12.88
Lower Deer Point,5/1/2012,-75.86,-11.09
Lower Deer Point,5/5/2012,-92.18,-13.09
Lower Deer Point,5/23/2012,-66.86,-9.86
Lower Weather,10/6/2009,-137.96,-19.2
Lower Weather,10/19/2009,-71.19,-9.59
Lower Weather,10/19/2009,-70.8,-9.69
Lower Weather,10/24/2009,-83.97,-10.63
Lower Weather,10/24/2009,-85.12,-10.81
Lower Weather,10/30/2009,-93.39,-12.69
Lower Weather,11/7/2009,-53.15,-7.15
Lower Weather,11/13/2009,-140.93,-18.66
Lower Weather,11/13/2009,-140.82,-18.65
Lower Weather,1/7/2010,-112.83,-15.65
Lower Weather,1/25/2010,-140.9,-17.87
Lower Weather,1/27/2010,-133.85,-18.1
Lower Weather,2/1/2010,-179.15,-23.77
Lower Weather,2/10/2010,-127.65,-15.35
Lower Weather,2/17/2010,-75.34,-9.42
Lower Weather,2/24/2010,-164.83,-20.85
Lower Weather,2/28/2010,-110.39,-12.95
Lower Weather,3/5/2010,-100.24,-12.65
Lower Weather,3/9/2010,-96.81,-12.79
Lower Weather,3/15/2010,-118.51,-14.75
Lower Weather,3/26/2010,-84.71,-11.51
Lower Weather,4/2/2010,-80.13,-9.93
Lower Weather,4/3/2010,-125.32,-15.95
Lower Weather,4/13/2010,-98.57,-12.35
Lower Weather,4/21/2010,-75.81,-10.54
Lower Weather,4/30/2010,-114.87,-14.96
Lower Weather,5/7/2010,-80.88,-10.71
Lower Weather,5/12/2010,-102.44,-13.79
Lower Weather,5/19/2010,-72.61,-10.22
Lower Weather,5/24/2010,-117.97,-16.04
Lower Weather,5/30/2010,-91.87,-12.27
Lower Weather,6/1/2010,-70.63,-6.94
Lower Weather,6/5/2010,-100.12,-12.39
Lower Weather,6/11/2010,-43.32,-4.75
Lower Weather,6/21/2010,-49.32,-5.72
Lower Weather,10/25/2010,-127.3,-16.33
Lower Weather,10/27/2010,-72.94,-11.43
Lower Weather,11/1/2010,-74.22,-10.22
Lower Weather,11/8/2010,-109.63,-15.45
Lower Weather,11/15/2010,-83.27,-11.35
Lower Weather,12/7/2010,-144.44,-19.59
Lower Weather,12/7/2010,-144.93,-19.8
Lower Weather,12/13/2010,-70.6,-10.24
Lower Weather,12/15/2010,-129.92,-17.2
Lower Weather,12/27/2010,-133.9,-17.96
Lower Weather,12/29/2010,-177.12,-23.35
Lower Weather,1/17/2011,-123.45,-16.19
Lower Weather,1/25/2011,-91.66,-12.8
Lower Weather,3/8/2011,-149.49,-19.3
Lower Weather,3/11/2011,-105.21,-13.89
Lower Weather,3/14/2011,-87.44,-10.61
Lower Weather,3/17/2011,-111.05,-14.41
Lower Weather,3/22/2011,-134.18,-18.17
Lower Weather,3/25/2011,-120.8,-16.53
Lower Weather,3/31/2011,-130.9,-17.19
Lower Weather,4/2/2011,-92.92,-12.85
Lower Weather,4/5/2011,-72.83,-9.86
Lower Weather,4/17/2011,-139.78,-18.84
Lower Weather,4/22/2011,-105,-13.25
Lower Weather,4/26/2011,-98,-13.25
Lower Weather,4/30/2011,-95.71,-12.79
Lower Weather,5/7/2011,-102.03,-12.75
Lower Weather,5/8/2011,-129.92,-17.19
Lower Weather,5/16/2011,-124.06,-16.73
Lower Weather,5/19/2011,-94.55,-12.79
Lower Weather,5/27/2011,-94.26,-12.72
Lower Weather,6/2/2011,-121.64,-16.51
Lower Weather,6/7/2011,-80.33,-11.14
Lower Weather,6/9/2011,-86.11,-12.09
Lower Weather,6/29/2011,-72.75,-7.23
Lower Weather,6/30/2011,-80.71,-7.52
Lower Weather,9/16/2011,-39.06,-5.04
Lower Weather,10/5/2011,-82.01,-11.21
Lower Weather,10/7/2011,-152.86,-20.46
Lower Weather,10/11/2011,-142.84,-18.32
Lower Weather,10/17/2011,-110.68,-14.79
Lower Weather,11/5/2011,-109.63,-15.77
Lower Weather,11/22/2011,-126.83,-17.34
Lower Weather,12/29/2011,-107.1,-13.51
Lower Weather,12/31/2011,-84.29,-11.25
Lower Weather,1/20/2012,-148.88,-20.26
Lower Weather,1/24/2012,-127.75,-16.59
Lower Weather,1/27/2012,-98.91,-12.08
Lower Weather,2/2/2012,-147.88,-20.16
Lower Weather,2/15/2012,-103.93,-13.98
Lower Weather,2/27/2012,-93.24,-11.83
Lower Weather,3/16/2012,-112.53,-14.88
Lower Weather,3/18/2012,-119.65,-15.35
Lower Weather,3/19/2012,-125.82,-16.58
Lower Weather,3/21/2012,-118.51,-15
Lower Weather,3/26/2012,-84.2,-12.35
Lower Weather,3/28/2012,-113.94,-15.27
Lower Weather,4/19/2012,-83.53,-10.24
Lower Weather,4/26/2012,-117.88,-15.34
Lower Weather,4/27/2012,-116.91,-15.37
Lower Weather,5/1/2012,-62.7,-7.5
Lower Weather,5/5/2012,-93.44,-12.75
Lower Weather,5/23/2012,-60.59,-7.86
Mountain View HS,10/12/2011,-99.45,-12.99
Mountain View HS,10/17/2011,-100.75,-13.27
Mountain View HS,11/5/2011,-105.76,-14.56
Mountain View HS,1/18/2012,-118.29,-14.78
Mountain View HS,1/18/2012,-210.55,-27.27
Mountain View HS,1/20/2012,-145.77,-18.58
Mountain View HS,2/1/2012,-112.29,-14.49
Mountain View HS,2/25/2012,-94.59,-12.7
Mountain View HS,3/16/2012,-103.61,-12.44
Taft Elementary,10/5/2011,-119.85,-15.31
Taft Elementary,10/11/2011,-148.7,-18.49
Taft Elementary,1/9/2012,-132.58,-16.47
Taft Elementary,1/18/2012,-182.1,-23.42
Taft Elementary,1/19/2012,-132.65,-16.9
Taft Elementary,1/23/2012,-129.14,-17.11
Taft Elementary,1/26/2012,-114.54,-14.75
Taft Elementary,2/1/2012,-93.2,-11.82
Taft Elementary,3/15/2012,-112.91,-13.66
Taft Elementary,3/21/2012,-110.87,-13.85
Taft Elementary,4/16/2012,-52.54,-6.13
Taft Elementary,4/17/2012,-77.13,-9.53
Taft Elementary,4/19/2012,-99.73,-11.98
Taft Elementary,4/27/2012,-122.4,-16.1
Taft Elementary,4/27/2012,-115.08,-14.84
Taft Elementary,4/30/2012,-64.33,-7.06
Taft Elementary,5/3/2012,-72.05,-7.91
Taft Elementary,5/4/2012,-98.99,-13.4
Treeline,10/6/2009,-153.53,-21.27
Treeline,10/14/2009,-144.21,-18.35
Treeline,10/15/2009,-58.8,-8.64
Treeline,10/19/2009,-84.25,-12.38
Treeline,10/24/2009,-105.49,-14.32
Treeline,10/30/2009,-90.29,-12.75
Treeline,11/7/2009,-66.66,-10.15
Treeline,11/13/2009,-149.07,-19.81
Treeline,1/20/2010,-128.18,-16.56
Treeline,1/25/2010,-150.96,-19.74
Treeline,1/27/2010,-151.14,-19.94
Treeline,1/30/2010,-149.72,-19.49
Treeline,2/10/2010,-147.14,-19.07
Treeline,2/17/2010,-135.56,-17.26
Treeline,3/5/2010,-140.51,-18.14
Treeline,3/9/2010,-134.86,-17.56
Treeline,3/12/2010,-121.95,-15.72
Treeline,3/26/2010,-63.32,-7.82
Treeline,3/29/2010,-102.06,-13.27
Treeline,4/2/2010,-75.07,-10.13
Treeline,4/7/2010,-100.01,-12.89
Treeline,4/13/2010,-107.13,-13.81
Treeline,4/14/2010,-109.23,-14.24
Treeline,4/21/2010,-91.98,-12.59
Treeline,4/24/2010,-84.54,-11.06
Treeline,4/24/2010,-84.05,-11.09
Treeline,4/30/2010,-107.65,-13.85
Treeline,5/7/2010,-110.79,-15.48
Treeline,5/12/2010,-109.57,-15.5
Treeline,5/19/2010,-96.41,-13.25
Treeline,5/24/2010,-104.49,-14.64
Treeline,5/28/2010,-96.57,-13.4
Treeline,5/30/2010,-106,-14.45
Treeline,6/1/2010,-84.04,-10.5
Treeline,6/7/2010,-108.24,-13.69
Treeline,6/11/2010,-50.36,-6.43
Treeline,6/21/2010,-68.52,-9.61
Treeline,10/25/2010,-130.23,-17.48
Treeline,10/27/2010,-71.62,-11.79
Treeline,11/1/2010,-86.33,-12.58
Treeline,11/8/2010,-123.23,-17.59
Treeline,11/11/2010,-95.71,-13.97
Treeline,11/15/2010,-95.66,-13.1
Treeline,12/7/2010,-139.72,-19.34
Treeline,12/9/2010,-123.57,-16.85
Treeline,12/9/2010,-147.1,-20.6
Treeline,12/13/2010,-85.83,-12.44
Treeline,12/13/2010,-126.81,-17.85
Treeline,12/15/2010,-139.07,-19.26
Treeline,12/15/2010,-140.31,-19.15
Treeline,12/16/2010,-133.99,-18.13
Treeline,12/27/2010,-148.37,-19.72
Treeline,1/17/2011,-131.84,-17.99
Treeline,1/17/2011,-150.31,-20.2
Treeline,1/20/2011,-108.85,-15.01
Treeline,1/20/2011,-142.84,-19.07
Treeline,1/28/2011,-106.81,-14.82
Treeline,1/28/2011,-117.58,-14.66
Treeline,3/3/2011,-120.03,-15.63
Treeline,3/8/2011,-118.47,-15.81
Treeline,3/11/2011,-115.21,-15.1
Treeline,3/14/2011,-96.02,-13.04
Treeline,3/14/2011,-113.29,-15.09
Treeline,3/18/2011,-118.22,-16.03
Treeline,3/18/2011,-103.48,-14.28
Treeline,3/22/2011,-127.94,-17.13
Treeline,3/22/2011,-129.47,-17.22
Treeline,3/25/2011,-110.44,-15.64
Treeline,3/31/2011,-138.09,-18.18
Treeline,4/5/2011,-87.93,-12.73
Treeline,4/17/2011,-153.13,-21.14
Treeline,4/22/2011,-121.42,-15.77
Treeline,4/23/2011,-123.92,-16.63
Treeline,4/27/2011,-97.69,-13.78
Treeline,4/30/2011,-110.82,-14.82
Treeline,5/7/2011,-115.87,-15.16
Treeline,5/8/2011,-145.33,-19.78
Treeline,5/16/2011,-130.25,-17.52
Treeline,5/19/2011,-102.32,-13.66
Treeline,5/26/2011,-103.36,-14.79
Treeline,5/27/2011,-106.05,-14.69
Treeline,6/7/2011,-97.07,-13.46
Treeline,6/9/2011,-101.57,-14.57
Treeline,6/29/2011,-70.04,-7.41
Treeline,6/30/2011,-98.41,-11.59
Treeline,9/11/2011,-49.55,-6.37
Treeline,9/16/2011,-50.01,-7.07
Treeline,10/5/2011,-90.35,-12.5
Treeline,10/7/2011,-168.45,-22.6
Treeline,10/11/2011,-148.06,-19.6
Treeline,10/17/2011,-118.7,-16.34
Treeline,11/5/2011,-119.8,-15.98
Treeline,11/13/2011,-90.84,-13.99
Treeline,11/22/2011,-154.88,-21.78
Treeline,12/29/2011,-117.55,-15.73
Treeline,1/20/2012,-166.6,-22.57
Treeline,1/24/2012,-112.34,-15.87
Treeline,1/27/2012,-114.21,-14.99
Treeline,2/15/2012,-129.26,-17.7
Treeline,2/27/2012,-92.72,-12.69
Treeline,3/16/2012,-113.38,-15.55
Treeline,3/18/2012,-123.6,-16.27
Treeline,3/19/2012,-128.51,-16.1
Treeline,3/21/2012,-127.57,-16.82
Treeline,3/21/2012,-125.86,-16.42
Treeline,3/27/2012,-89.13,-12.89
Treeline,3/27/2012,-93.26,-13.27
Treeline,3/28/2012,-121.26,-15.89
Treeline,4/19/2012,-99.01,-13.6
Treeline,4/26/2012,-141.65,-19.15
Treeline,4/27/2012,-121.38,-16.53
Treeline,5/1/2012,-75.04,-10.38
Treeline,5/5/2012,-91.21,-12.56
Treeline,5/23/2012,-68.35,-9.78
Washington Elementary,11/18/2011,-76.32,-9.35
Washington Elementary,11/22/2011,-97.99,-12.68
Washington Elementary,12/28/2011,-111,-13.46
Washington Elementary,12/30/2011,-56.6,-6.46
Washington Elementary,1/18/2012,-184.08,-23.99
Washington Elementary,1/20/2012,-157.24,-19.91
Washington Elementary,1/22/2012,-133.75,-16.76
Washington Elementary,1/24/2012,-113.13,-15.02
Washington Elementary,1/30/2012,-94.42,-11.65
Washington Elementary,2/21/2012,-102.79,-13.32
Washington Elementary,3/6/2012,-111.08,-14.68
Washington Elementary,3/14/2012,-123.41,-15.78
Washington Elementary,3/19/2012,-113.26,-14.55
Washington Elementary,4/15/2012,-122.18,-15.73
Washington Elementary,4/17/2012,-93.9,-11.99
Washington Elementary,4/27/2012,-145.22,-18.86
